,Type,Island,Clutch Completion,Date,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
0,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,11/11/2007,39.1,18.7,181.0,3750.0,MALE,,
1,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,11/11/2007,39.5,17.4,186.0,3800.0,FEMALE,8.94956,-24.69454
2,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,16/11/2007,40.3,18.0,195.0,3250.0,FEMALE,8.36821,-25.33302
3,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,16/11/2007,,,,,,,
4,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,16/11/2007,36.7,19.3,193.0,3450.0,FEMALE,8.76651,-25.32426
5,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,16/11/2007,39.3,20.6,190.0,3650.0,MALE,8.66496,-25.29805
6,Adelie Penguin (Pygoscelis adeliae),Torgersen,No,15/11/2007,38.9,17.8,181.0,3625.0,FEMALE,9.18718,-25.21799
7,Adelie Penguin (Pygoscelis adeliae),Torgersen,No,15/11/2007,39.2,19.6,195.0,4675.0,MALE,9.4606,-24.89958
8,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,9/11/2007,34.1,18.1,193.0,3475.0,,,
9,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,9/11/2007,42.0,20.2,190.0,4250.0,,9.13362,-25.09368
10,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,9/11/2007,37.8,17.1,186.0,3300.0,,8.63243,-25.21315
11,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,9/11/2007,37.8,17.3,180.0,3700.0,,,
12,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,15/11/2007,41.1,17.6,182.0,3200.0,FEMALE,,
13,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,15/11/2007,38.6,21.2,191.0,3800.0,MALE,,
14,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,16/11/2007,34.6,21.1,198.0,4400.0,MALE,8.55583,-25.22588
15,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,16/11/2007,36.6,17.8,185.0,3700.0,FEMALE,,
16,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,12/11/2007,38.7,19.0,195.0,3450.0,FEMALE,9.18528,-25.06691
17,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,12/11/2007,42.5,20.7,197.0,4500.0,MALE,8.67538,-25.13993
18,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,16/11/2007,34.4,18.4,184.0,3325.0,FEMALE,8.47827,-25.23319
19,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,16/11/2007,46.0,21.5,194.0,4200.0,MALE,9.11616,-24.77227
20,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,12/11/2007,37.8,18.3,174.0,3400.0,FEMALE,8.73762,-25.09383
21,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,12/11/2007,37.7,18.7,180.0,3600.0,MALE,8.66271,-25.0639
22,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,12/11/2007,35.9,19.2,189.0,3800.0,FEMALE,9.22286,-25.03474
23,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,12/11/2007,38.2,18.1,185.0,3950.0,MALE,8.43423,-25.22664
24,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,10/11/2007,38.8,17.2,180.0,3800.0,MALE,9.63954,-25.29856
25,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,10/11/2007,35.3,18.9,187.0,3800.0,FEMALE,9.21292,-24.3613
26,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,12/11/2007,40.6,18.6,183.0,3550.0,MALE,8.93997,-25.36288
27,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,12/11/2007,40.5,17.9,187.0,3200.0,FEMALE,8.08138,-25.49448
28,Adelie Penguin (Pygoscelis adeliae),Biscoe,No,10/11/2007,37.9,18.6,172.0,3150.0,FEMALE,8.38404,-25.19837
29,Adelie Penguin (Pygoscelis adeliae),Biscoe,No,10/11/2007,40.5,18.9,180.0,3950.0,MALE,8.90027,-25.11609
30,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,9/11/2007,39.5,16.7,178.0,3250.0,FEMALE,9.69756,-25.11223
31,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,9/11/2007,37.2,18.1,178.0,3900.0,MALE,9.72764,-25.0102
32,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,9/11/2007,39.5,17.8,188.0,3300.0,FEMALE,9.66523,-25.0602
33,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,9/11/2007,40.9,18.9,184.0,3900.0,MALE,8.79665,-25.14591
34,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,16/11/2007,36.4,17.0,195.0,3325.0,FEMALE,9.17847,-25.23061
35,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,16/11/2007,39.2,21.1,196.0,4150.0,MALE,9.15308,-25.03469
36,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,16/11/2007,38.8,20.0,190.0,3950.0,MALE,9.18985,-25.12255
37,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,16/11/2007,42.2,18.5,180.0,3550.0,FEMALE,8.04787,-25.49523
38,Adelie Penguin (Pygoscelis adeliae),Dream,No,13/11/2007,37.6,19.3,181.0,3300.0,FEMALE,9.41131,-25.04169
39,Adelie Penguin (Pygoscelis adeliae),Dream,No,13/11/2007,39.8,19.1,184.0,4650.0,MALE,,
40,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,16/11/2007,36.5,18.0,182.0,3150.0,FEMALE,9.68933,-24.4228
41,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,16/11/2007,40.8,18.4,195.0,3900.0,MALE,,
42,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,19/11/2007,36.0,18.5,186.0,3100.0,FEMALE,9.50772,-25.03492
43,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,19/11/2007,44.1,19.7,196.0,4400.0,MALE,9.2372,-24.52698
44,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,16/11/2007,37.0,16.9,185.0,3000.0,FEMALE,9.36392,-25.01745
45,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,16/11/2007,39.6,18.8,190.0,4600.0,MALE,9.49106,-24.10255
46,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,13/11/2007,41.1,19.0,182.0,3425.0,MALE,,
47,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,13/11/2007,37.5,18.9,179.0,2975.0,,,
48,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,13/11/2007,36.0,17.9,190.0,3450.0,FEMALE,9.51784,-25.07683
49,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,13/11/2007,42.3,21.2,191.0,4150.0,MALE,8.87988,-25.18543
50,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,6/11/2008,39.6,17.7,186.0,3500.0,FEMALE,8.46616,-26.12989
51,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,6/11/2008,40.1,18.9,188.0,4300.0,MALE,8.51362,-26.55602
52,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,9/11/2008,35.0,17.9,190.0,3450.0,FEMALE,8.19539,-26.17213
53,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,9/11/2008,42.0,19.5,200.0,4050.0,MALE,8.48095,-26.3146
54,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,9/11/2008,34.5,18.1,187.0,2900.0,FEMALE,8.41837,-26.54718
55,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,9/11/2008,41.4,18.6,191.0,3700.0,MALE,8.35396,-26.27853
56,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,15/11/2008,39.0,17.5,186.0,3550.0,FEMALE,8.57199,-26.07188
57,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,15/11/2008,40.6,18.8,193.0,3800.0,MALE,8.56674,-25.98843
58,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,15/11/2008,36.5,16.6,181.0,2850.0,FEMALE,9.07878,-25.88156
59,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,15/11/2008,37.6,19.1,194.0,3750.0,MALE,9.108,-25.89677
60,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,13/11/2008,35.7,16.9,185.0,3150.0,FEMALE,8.96472,-26.40943
61,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,13/11/2008,41.3,21.1,195.0,4400.0,MALE,8.74802,-26.37809
62,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,13/11/2008,37.6,17.0,185.0,3600.0,FEMALE,8.58063,-26.21569
63,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,13/11/2008,41.1,18.2,192.0,4050.0,MALE,8.62264,-26.60023
64,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,13/11/2008,36.4,17.1,184.0,2850.0,FEMALE,8.62623,-26.1165
65,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,13/11/2008,41.6,18.0,192.0,3950.0,MALE,8.85562,-26.09294
66,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,6/11/2008,35.5,16.2,195.0,3350.0,FEMALE,8.56192,-25.95541
67,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,6/11/2008,41.1,19.1,188.0,4100.0,MALE,8.71078,-25.81012
68,Adelie Penguin (Pygoscelis adeliae),Torgersen,No,11/11/2008,35.9,16.6,190.0,3050.0,FEMALE,8.47781,-26.07821
69,Adelie Penguin (Pygoscelis adeliae),Torgersen,No,11/11/2008,41.8,19.4,198.0,4450.0,MALE,8.86853,-26.06209
70,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,14/11/2008,33.5,19.0,190.0,3600.0,FEMALE,7.88863,-26.63085
71,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,14/11/2008,39.7,18.4,190.0,3900.0,MALE,9.29808,-25.23453
72,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,11/11/2008,39.6,17.2,196.0,3550.0,FEMALE,8.33524,-26.55351
73,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,11/11/2008,45.8,18.9,197.0,4150.0,MALE,8.18658,-26.45978
74,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,8/11/2008,35.5,17.5,190.0,3700.0,FEMALE,8.70642,-26.15003
75,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,8/11/2008,42.8,18.5,195.0,4250.0,MALE,8.2993,-26.38986
76,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,6/11/2008,40.9,16.8,191.0,3700.0,FEMALE,8.47257,-26.02002
77,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,6/11/2008,37.2,19.4,184.0,3900.0,MALE,8.3554,-26.44787
78,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,9/11/2008,36.2,16.1,187.0,3550.0,FEMALE,7.82381,-26.51382
79,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,9/11/2008,42.1,19.1,195.0,4000.0,MALE,9.05736,-25.81513
80,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,2/11/2008,34.6,17.2,189.0,3200.0,FEMALE,7.69778,-26.5387
81,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,2/11/2008,42.9,17.6,196.0,4700.0,MALE,8.63259,-26.23027
82,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,7/11/2008,36.7,18.8,187.0,3800.0,FEMALE,7.88494,-26.24837
83,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,7/11/2008,35.1,19.4,193.0,4200.0,MALE,8.90002,-26.46254
84,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,17/11/2008,37.3,17.8,191.0,3350.0,FEMALE,8.32718,-26.38396
85,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,17/11/2008,41.3,20.3,194.0,3550.0,MALE,9.14863,-26.09635
86,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,8/11/2008,36.3,19.5,190.0,3800.0,MALE,8.57087,-26.22227
87,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,8/11/2008,36.9,18.6,189.0,3500.0,FEMALE,8.59147,-26.08165
88,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,8/11/2008,38.3,19.2,189.0,3950.0,MALE,9.07826,-26.12417
89,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,8/11/2008,38.9,18.8,190.0,3600.0,FEMALE,8.36936,-26.11199
90,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,14/11/2008,35.7,18.0,202.0,3550.0,FEMALE,8.46531,-26.05621
91,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,14/11/2008,41.1,18.1,205.0,4300.0,MALE,8.77018,-25.83352
92,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,5/11/2008,34.0,17.1,185.0,3400.0,FEMALE,8.01485,-26.69543
93,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,5/11/2008,39.6,18.1,186.0,4450.0,MALE,8.49915,-26.42406
94,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,17/11/2008,36.2,17.3,187.0,3300.0,FEMALE,8.90723,-26.30037
95,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,17/11/2008,40.8,18.9,208.0,4300.0,MALE,8.48204,-26.57941
96,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,8/11/2008,38.1,18.6,190.0,3700.0,FEMALE,8.10277,-26.50086
97,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,8/11/2008,40.3,18.5,196.0,4350.0,MALE,8.39459,-26.01152
98,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,10/11/2008,33.1,16.1,178.0,2900.0,FEMALE,9.04218,-26.15775
99,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,10/11/2008,43.2,18.5,192.0,4100.0,MALE,8.97025,-26.03679
100,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,9/11/2009,35.0,17.9,192.0,3725.0,FEMALE,8.84451,-26.28055
101,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,9/11/2009,41.0,20.0,203.0,4725.0,MALE,9.01079,-26.38085
102,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,15/11/2009,37.7,16.0,183.0,3075.0,FEMALE,9.2151,-26.2253
103,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,15/11/2009,37.8,20.0,190.0,4250.0,MALE,9.51929,-25.69199
104,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,15/11/2009,37.9,18.6,193.0,2925.0,FEMALE,9.02642,-25.86482
105,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,15/11/2009,39.7,18.9,184.0,3550.0,MALE,8.85699,-25.80208
106,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,15/11/2009,38.6,17.2,199.0,3750.0,FEMALE,8.77322,-26.48973
107,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,15/11/2009,38.2,20.0,190.0,3900.0,MALE,9.59245,-25.70711
108,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,20/11/2009,38.1,17.0,181.0,3175.0,FEMALE,9.79532,-25.27385
109,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,20/11/2009,43.2,19.0,197.0,4775.0,MALE,9.31735,-25.45171
110,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,12/11/2009,38.1,16.5,198.0,3825.0,FEMALE,8.43951,-26.57563
111,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,12/11/2009,45.6,20.3,191.0,4600.0,MALE,8.65466,-26.32909
112,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,15/11/2009,39.7,17.7,193.0,3200.0,FEMALE,9.02657,-26.06203
113,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,15/11/2009,42.2,19.5,197.0,4275.0,MALE,8.80186,-26.41218
114,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,17/11/2009,39.6,20.7,191.0,3900.0,FEMALE,8.80967,-26.78958
115,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,17/11/2009,42.7,18.3,196.0,4075.0,MALE,8.91434,-26.42018
116,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,18/11/2009,38.6,17.0,188.0,2900.0,FEMALE,9.18021,-25.77264
117,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,18/11/2009,37.3,20.5,199.0,3775.0,MALE,9.49645,-26.36678
118,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,22/11/2009,35.7,17.0,189.0,3350.0,FEMALE,8.96436,-23.90309
119,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,22/11/2009,41.1,18.6,189.0,3325.0,MALE,9.32277,-26.09989
120,Adelie Penguin (Pygoscelis adeliae),Torgersen,No,17/11/2009,36.2,17.2,187.0,3150.0,FEMALE,9.04296,-26.19444
121,Adelie Penguin (Pygoscelis adeliae),Torgersen,No,17/11/2009,37.7,19.8,198.0,3500.0,MALE,9.11066,-26.42563
122,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,16/11/2009,40.2,17.0,176.0,3450.0,FEMALE,9.30722,-25.61039
123,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,16/11/2009,41.4,18.5,202.0,3875.0,MALE,9.59462,-25.42621
124,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,18/11/2009,35.2,15.9,186.0,3050.0,FEMALE,8.81668,-25.95399
125,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,18/11/2009,40.6,19.0,199.0,4000.0,MALE,9.22537,-25.60826
126,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,21/11/2009,38.8,17.6,191.0,3275.0,FEMALE,8.88098,-25.89741
127,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,21/11/2009,41.5,18.3,195.0,4300.0,MALE,8.52566,-26.0245
128,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,18/11/2009,39.0,17.1,191.0,3050.0,FEMALE,9.19031,-25.73722
129,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,18/11/2009,44.1,18.0,210.0,4000.0,MALE,9.10702,-26.01363
130,Adelie Penguin (Pygoscelis adeliae),Torgersen,No,23/11/2009,38.5,17.9,190.0,3325.0,FEMALE,8.9846,-25.57956
131,Adelie Penguin (Pygoscelis adeliae),Torgersen,No,23/11/2009,43.1,19.2,197.0,3500.0,MALE,8.86495,-26.1396
132,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,10/11/2009,36.8,18.5,193.0,3500.0,FEMALE,8.98705,-25.57647
133,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,10/11/2009,37.5,18.5,199.0,4475.0,MALE,8.56708,-26.49288
134,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,13/11/2009,38.1,17.6,187.0,3425.0,FEMALE,8.717,-25.77951
135,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,13/11/2009,41.1,17.5,190.0,3900.0,MALE,8.94365,-26.06943
136,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,16/11/2009,35.6,17.5,191.0,3175.0,FEMALE,8.75984,-25.97696
137,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,16/11/2009,40.2,20.1,200.0,3975.0,MALE,8.95998,-26.32601
138,Adelie Penguin (Pygoscelis adeliae),Dream,No,16/11/2009,37.0,16.5,185.0,3400.0,FEMALE,8.61651,-26.07021
139,Adelie Penguin (Pygoscelis adeliae),Dream,No,16/11/2009,39.7,17.9,193.0,4250.0,MALE,9.25769,-25.88798
140,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,14/11/2009,40.2,17.1,193.0,3400.0,FEMALE,9.2881,-25.54976
141,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,14/11/2009,40.6,17.2,187.0,3475.0,MALE,9.23408,-26.01549
142,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,16/11/2009,32.1,15.5,188.0,3050.0,FEMALE,8.79787,-26.61075
143,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,16/11/2009,40.7,17.0,190.0,3725.0,MALE,9.05674,-25.79529
144,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,16/11/2009,37.3,16.8,192.0,3000.0,FEMALE,9.06829,-25.85203
145,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,16/11/2009,39.0,18.7,185.0,3650.0,MALE,9.22033,-26.03442
146,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,13/11/2009,39.2,18.6,190.0,4250.0,MALE,9.11006,-25.79549
147,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,13/11/2009,36.6,18.4,184.0,3475.0,FEMALE,8.68744,-25.8306
148,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,17/11/2009,36.0,17.8,195.0,3450.0,FEMALE,8.94332,-25.79189
149,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,17/11/2009,37.8,18.1,193.0,3750.0,MALE,8.97533,-26.03495
150,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,17/11/2009,36.0,17.1,187.0,3700.0,FEMALE,8.93465,-26.07081
151,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,17/11/2009,41.5,18.5,201.0,4000.0,MALE,8.8964,-26.06967
152,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,27/11/2007,46.1,13.2,211.0,4500.0,FEMALE,7.993,-25.5139
153,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,27/11/2007,50.0,16.3,230.0,5700.0,MALE,8.14756,-25.39369
154,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,27/11/2007,48.7,14.1,210.0,4450.0,FEMALE,8.14705,-25.46172
155,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,27/11/2007,50.0,15.2,218.0,5700.0,MALE,8.2554,-25.40075
156,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,18/11/2007,47.6,14.5,215.0,5400.0,MALE,8.2345,-25.54456
157,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,18/11/2007,46.5,13.5,210.0,4550.0,FEMALE,7.9953,-25.32829
158,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,27/11/2007,45.4,14.6,211.0,4800.0,FEMALE,8.24515,-25.46782
159,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,27/11/2007,46.7,15.3,219.0,5200.0,MALE,8.22673,-25.4276
160,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,27/11/2007,43.3,13.4,209.0,4400.0,FEMALE,8.13643,-25.32176
161,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,27/11/2007,46.8,15.4,215.0,5150.0,MALE,8.1631,-25.38017
162,Gentoo penguin (Pygoscelis papua),Biscoe,No,27/11/2007,40.9,13.7,214.0,4650.0,FEMALE,8.19579,-25.3933
163,Gentoo penguin (Pygoscelis papua),Biscoe,No,27/11/2007,49.0,16.1,216.0,5550.0,MALE,8.10417,-25.50562
164,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,29/11/2007,45.5,13.7,214.0,4650.0,FEMALE,7.77672,-25.4168
165,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,29/11/2007,48.4,14.6,213.0,5850.0,MALE,7.8208,-25.48025
166,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,3/12/2007,45.8,14.6,210.0,4200.0,FEMALE,7.79958,-25.62618
167,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,3/12/2007,49.3,15.7,217.0,5850.0,MALE,8.07137,-25.52473
168,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,27/11/2007,42.0,13.5,210.0,4150.0,FEMALE,7.63884,-25.52627
169,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,27/11/2007,49.2,15.2,221.0,6300.0,MALE,8.27376,-25.00169
170,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,27/11/2007,46.2,14.5,209.0,4800.0,FEMALE,7.84057,-25.37899
171,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,27/11/2007,48.7,15.1,222.0,5350.0,MALE,7.96491,-25.39587
