,Type,Island,Clutch Completion,Date,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
172,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,27/11/2007,50.2,14.3,218.0,5700.0,MALE,7.8962,-25.37746
173,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,27/11/2007,45.1,14.5,215.0,5000.0,FEMALE,7.6322,-25.46569
174,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,27/11/2007,46.5,14.5,213.0,4400.0,FEMALE,7.90436,-25.3947
175,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,27/11/2007,46.3,15.8,215.0,5050.0,MALE,7.90971,-25.38157
176,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,29/11/2007,42.9,13.1,215.0,5000.0,FEMALE,7.68528,-25.39181
177,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,29/11/2007,46.1,15.1,215.0,5100.0,MALE,7.83733,-25.42826
178,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,29/11/2007,44.5,14.3,216.0,4100.0,,7.96621,-25.69327
179,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,29/11/2007,47.8,15.0,215.0,5650.0,MALE,7.92358,-25.48383
180,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,29/11/2007,48.2,14.3,210.0,4600.0,FEMALE,7.6887,-25.50811
181,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,29/11/2007,50.0,15.3,220.0,5550.0,MALE,8.30515,-25.19017
182,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,29/11/2007,47.3,15.3,222.0,5250.0,MALE,,
183,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,29/11/2007,42.8,14.2,209.0,4700.0,FEMALE,7.63452,-25.46327
184,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,3/12/2007,45.1,14.5,207.0,5050.0,FEMALE,7.97408,-25.53768
185,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,3/12/2007,59.6,17.0,230.0,6050.0,MALE,7.76843,-25.6821
186,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,13/11/2008,49.1,14.8,220.0,5150.0,FEMALE,7.89744,-26.63405
187,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,13/11/2008,48.4,16.3,220.0,5400.0,MALE,8.03659,-26.86127
188,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,2/11/2008,42.6,13.7,213.0,4950.0,FEMALE,7.96935,-26.70968
189,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,2/11/2008,44.4,17.3,219.0,5250.0,MALE,8.13746,-26.79093
190,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,9/11/2008,44.0,13.6,208.0,4350.0,FEMALE,8.01979,-26.68311
191,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,9/11/2008,48.7,15.7,208.0,5350.0,MALE,8.14776,-26.84506
192,Gentoo penguin (Pygoscelis papua),Biscoe,No,4/11/2008,42.7,13.7,208.0,3950.0,FEMALE,8.14567,-26.59467
193,Gentoo penguin (Pygoscelis papua),Biscoe,No,4/11/2008,49.6,16.0,225.0,5700.0,MALE,8.38324,-26.84272
194,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,4/11/2008,45.3,13.7,210.0,4300.0,FEMALE,8.37615,-26.72791
195,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,4/11/2008,49.6,15.0,216.0,4750.0,MALE,8.26548,-26.7699
196,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,3/11/2008,50.5,15.9,222.0,5550.0,MALE,8.46894,-26.60436
197,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,3/11/2008,43.6,13.9,217.0,4900.0,FEMALE,8.27141,-26.7765
198,Gentoo penguin (Pygoscelis papua),Biscoe,No,9/11/2008,45.5,13.9,210.0,4200.0,FEMALE,8.47829,-26.61788
199,Gentoo penguin (Pygoscelis papua),Biscoe,No,9/11/2008,50.5,15.9,225.0,5400.0,MALE,8.65803,-26.57585
200,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,2/11/2008,44.9,13.3,213.0,5100.0,FEMALE,8.45167,-26.89644
201,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,2/11/2008,45.2,15.8,215.0,5300.0,MALE,8.55868,-26.67799
202,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,4/11/2008,46.6,14.2,210.0,4850.0,FEMALE,8.38289,-26.86352
203,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,4/11/2008,48.5,14.1,220.0,5300.0,MALE,8.39867,-26.79358
204,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,4/11/2008,45.1,14.4,210.0,4400.0,FEMALE,8.51951,-27.01854
205,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,4/11/2008,50.1,15.0,225.0,5000.0,MALE,8.50153,-26.61414
206,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,4/11/2008,46.5,14.4,217.0,4900.0,FEMALE,8.48789,-26.83006
207,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,4/11/2008,45.0,15.4,220.0,5050.0,MALE,8.63488,-26.75621
208,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,3/11/2008,43.8,13.9,208.0,4300.0,FEMALE,8.58319,-26.84415
209,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,3/11/2008,45.5,15.0,220.0,5000.0,MALE,8.63604,-26.7489
210,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,6/11/2008,43.2,14.5,208.0,4450.0,FEMALE,8.48367,-26.86485
211,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,6/11/2008,50.4,15.3,224.0,5550.0,MALE,8.74647,-26.79846
212,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,3/11/2008,45.3,13.8,208.0,4200.0,FEMALE,8.65015,-26.79053
213,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,3/11/2008,46.2,14.9,221.0,5300.0,MALE,8.60092,-26.84374
214,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,13/11/2008,45.7,13.9,214.0,4400.0,FEMALE,8.6287,-26.60484
215,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,13/11/2008,54.3,15.7,231.0,5650.0,MALE,8.49662,-26.84166
216,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,4/11/2008,45.8,14.2,219.0,4700.0,FEMALE,8.60447,-26.61601
217,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,4/11/2008,49.8,16.8,230.0,5700.0,MALE,8.47067,-26.69166
218,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,9/11/2008,46.2,14.4,214.0,4650.0,,8.24253,-26.8154
219,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,9/11/2008,49.5,16.2,229.0,5800.0,MALE,8.49854,-26.74809
220,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,13/11/2008,43.5,14.2,220.0,4700.0,FEMALE,8.64931,-26.68867
221,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,13/11/2008,50.7,15.0,223.0,5550.0,MALE,8.63551,-26.74249
222,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,3/11/2008,47.7,15.0,216.0,4750.0,FEMALE,8.53018,-26.72751
223,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,3/11/2008,46.4,15.6,221.0,5000.0,MALE,8.35078,-26.70783
224,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,9/11/2008,48.2,15.6,221.0,5100.0,MALE,8.24651,-26.66958
225,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,9/11/2008,46.5,14.8,217.0,5200.0,FEMALE,8.58487,-26.5929
226,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,6/11/2008,46.4,15.0,216.0,4700.0,FEMALE,8.47938,-26.9547
227,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,6/11/2008,48.6,16.0,230.0,5800.0,MALE,8.5964,-26.71199
228,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,6/11/2008,47.5,14.2,209.0,4600.0,FEMALE,8.39299,-26.78733
229,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,6/11/2008,51.1,16.3,220.0,6000.0,MALE,8.40327,-26.76821
230,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,9/11/2008,45.2,13.8,215.0,4750.0,FEMALE,8.24694,-26.65359
231,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,9/11/2008,45.2,16.4,223.0,5950.0,MALE,8.19749,-26.65931
232,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,18/11/2009,49.1,14.5,212.0,4625.0,FEMALE,8.35802,-26.2766
233,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,18/11/2009,52.5,15.6,221.0,5450.0,MALE,8.28601,-26.27573
234,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,15/11/2009,47.4,14.6,212.0,4725.0,FEMALE,8.19101,-26.24369
235,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,15/11/2009,50.0,15.9,224.0,5350.0,MALE,8.20042,-26.39677
236,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,22/11/2009,44.9,13.8,212.0,4750.0,FEMALE,8.11238,-26.20372
237,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,22/11/2009,50.8,17.3,228.0,5600.0,MALE,8.27428,-26.30019
238,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,20/11/2009,43.4,14.4,218.0,4600.0,FEMALE,8.23468,-26.18599
239,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,20/11/2009,51.3,14.2,218.0,5300.0,MALE,8.15426,-26.3433
240,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,25/11/2009,47.5,14.0,212.0,4875.0,FEMALE,8.12691,-26.23613
241,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,25/11/2009,52.1,17.0,230.0,5550.0,MALE,8.27595,-26.11657
242,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,25/11/2009,47.5,15.0,218.0,4950.0,FEMALE,8.29671,-26.08547
243,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,25/11/2009,52.2,17.1,228.0,5400.0,MALE,8.36701,-25.89834
244,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,1/12/2009,45.5,14.5,212.0,4750.0,FEMALE,8.15566,-26.22848
245,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,1/12/2009,49.5,16.1,224.0,5650.0,MALE,8.83352,-25.69195
246,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,27/11/2009,44.5,14.7,214.0,4850.0,FEMALE,8.20106,-26.16524
247,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,27/11/2009,50.8,15.7,226.0,5200.0,MALE,8.27102,-26.11244
248,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,18/11/2009,49.4,15.8,216.0,4925.0,MALE,8.03624,-26.06594
249,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,18/11/2009,46.9,14.6,222.0,4875.0,FEMALE,7.8881,-26.04726
250,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,18/11/2009,48.4,14.4,203.0,4625.0,FEMALE,8.16582,-26.13971
251,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,18/11/2009,51.1,16.5,225.0,5250.0,MALE,8.2066,-26.36863
252,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,22/11/2009,48.5,15.0,219.0,4850.0,FEMALE,8.10231,-26.18763
253,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,22/11/2009,55.9,17.0,228.0,5600.0,MALE,8.3118,-26.35425
254,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,18/11/2009,47.2,15.5,215.0,4975.0,FEMALE,8.30817,-26.21651
255,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,18/11/2009,49.1,15.0,228.0,5500.0,MALE,8.65914,-25.79203
256,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,1/12/2009,47.3,13.8,216.0,4725.0,,8.25818,-26.23886
257,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,1/12/2009,46.8,16.1,215.0,5500.0,MALE,8.32359,-26.05756
258,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,10/11/2009,41.7,14.7,210.0,4700.0,FEMALE,8.12311,-26.44815
259,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,10/11/2009,53.4,15.8,219.0,5500.0,MALE,8.41017,-26.33867
260,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,9/11/2009,43.3,14.0,208.0,4575.0,FEMALE,8.4207,-26.38092
261,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,9/11/2009,48.1,15.1,209.0,5500.0,MALE,8.45738,-26.22664
262,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,20/11/2009,50.5,15.2,216.0,5000.0,FEMALE,8.24691,-26.18466
263,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,20/11/2009,49.8,15.9,229.0,5950.0,MALE,8.29226,-26.21019
264,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,27/11/2009,43.5,15.2,213.0,4650.0,FEMALE,8.21634,-26.11046
265,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,27/11/2009,51.5,16.3,230.0,5500.0,MALE,8.78557,-25.76147
266,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,25/11/2009,46.2,14.1,217.0,4375.0,FEMALE,8.30231,-25.96013
267,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,25/11/2009,55.1,16.0,230.0,5850.0,MALE,8.08354,-26.18161
268,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,1/12/2009,44.5,15.7,217.0,4875.0,.,8.04111,-26.18444
269,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,1/12/2009,48.8,16.2,222.0,6000.0,MALE,8.33825,-25.88547
270,Gentoo penguin (Pygoscelis papua),Biscoe,No,1/12/2009,47.2,13.7,214.0,4925.0,FEMALE,7.99184,-26.20538
271,Gentoo penguin (Pygoscelis papua),Biscoe,No,1/12/2009,,,,,,,
272,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,22/11/2009,46.8,14.3,215.0,4850.0,FEMALE,8.41151,-26.13832
273,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,22/11/2009,50.4,15.7,222.0,5750.0,MALE,8.30166,-26.04117
274,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,22/11/2009,45.2,14.8,212.0,5200.0,FEMALE,8.24246,-26.11969
275,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,22/11/2009,49.9,16.1,213.0,5400.0,MALE,8.3639,-26.15531
276,Chinstrap penguin (Pygoscelis antarctica),Dream,No,19/11/2007,46.5,17.9,192.0,3500.0,FEMALE,9.03935,-24.30229
277,Chinstrap penguin (Pygoscelis antarctica),Dream,No,19/11/2007,50.0,19.5,196.0,3900.0,MALE,8.92069,-24.23592
278,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,26/11/2007,51.3,19.2,193.0,3650.0,MALE,9.29078,-24.7557
279,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,26/11/2007,45.4,18.7,188.0,3525.0,FEMALE,8.64701,-24.62717
280,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,21/11/2007,52.7,19.8,197.0,3725.0,MALE,9.00642,-24.61867
281,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,21/11/2007,45.2,17.8,198.0,3950.0,FEMALE,8.88942,-24.49433
282,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,28/11/2007,46.1,18.2,178.0,3250.0,FEMALE,8.85664,-24.55644
283,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,28/11/2007,51.3,18.2,197.0,3750.0,MALE,8.63701,-24.84059
284,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,21/11/2007,46.0,18.9,195.0,4150.0,FEMALE,8.47173,-24.29229
285,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,21/11/2007,51.3,19.9,198.0,3700.0,MALE,8.79581,-24.36088
286,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,28/11/2007,46.6,17.8,193.0,3800.0,FEMALE,8.95063,-24.59897
287,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,28/11/2007,51.7,20.3,194.0,3775.0,MALE,8.68747,-24.38751
288,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,26/11/2007,47.0,17.3,185.0,3700.0,FEMALE,8.72037,-24.80526
289,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,26/11/2007,52.0,18.1,201.0,4050.0,MALE,9.0233,-24.38933
290,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,22/11/2007,45.9,17.1,190.0,3575.0,FEMALE,9.12277,-24.90024
291,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,22/11/2007,50.5,19.6,201.0,4050.0,MALE,9.8059,-24.7294
292,Chinstrap penguin (Pygoscelis antarctica),Dream,No,30/11/2007,50.3,20.0,197.0,3300.0,MALE,10.02019,-24.54704
293,Chinstrap penguin (Pygoscelis antarctica),Dream,No,30/11/2007,58.0,17.8,181.0,3700.0,FEMALE,9.14382,-24.57994
294,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,30/11/2007,46.4,18.6,190.0,3450.0,FEMALE,9.32105,-24.64162
295,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,30/11/2007,49.2,18.2,195.0,4400.0,MALE,9.27158,-24.64335
296,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,3/12/2007,42.4,17.3,181.0,3600.0,FEMALE,9.35138,-24.6879
297,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,3/12/2007,48.5,17.5,191.0,3400.0,MALE,9.42666,-24.26375
298,Chinstrap penguin (Pygoscelis antarctica),Dream,No,28/11/2007,43.2,16.6,187.0,2900.0,FEMALE,9.35416,-25.01185
299,Chinstrap penguin (Pygoscelis antarctica),Dream,No,28/11/2007,50.6,19.4,193.0,3800.0,MALE,9.28153,-24.97134
300,Chinstrap penguin (Pygoscelis antarctica),Dream,No,28/11/2007,46.7,17.9,195.0,3300.0,FEMALE,9.74144,-24.59467
301,Chinstrap penguin (Pygoscelis antarctica),Dream,No,28/11/2007,52.0,19.0,197.0,4150.0,MALE,9.36799,-24.47142
302,Chinstrap penguin (Pygoscelis antarctica),Dream,No,25/11/2008,50.5,18.4,200.0,3400.0,FEMALE,8.9399,-23.89017
303,Chinstrap penguin (Pygoscelis antarctica),Dream,No,25/11/2008,49.5,19.0,200.0,3800.0,MALE,9.63074,-24.34684
304,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,14/11/2008,46.4,17.8,191.0,3700.0,FEMALE,9.37369,-24.52896
305,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,14/11/2008,52.8,20.0,205.0,4550.0,MALE,9.25177,-24.69638
306,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,24/11/2008,40.9,16.6,187.0,3200.0,FEMALE,9.08458,-24.54903
307,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,24/11/2008,54.2,20.8,201.0,4300.0,MALE,9.49283,-24.59996
308,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,24/11/2008,42.5,16.7,187.0,3350.0,FEMALE,9.36668,-24.45195
309,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,24/11/2008,51.0,18.8,203.0,4100.0,MALE,9.23196,-24.17282
310,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,25/11/2008,49.7,18.6,195.0,3600.0,MALE,9.75486,-24.31198
311,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,25/11/2008,47.5,16.8,199.0,3900.0,FEMALE,9.07825,-25.1455
312,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,14/11/2008,47.6,18.3,195.0,3850.0,FEMALE,8.83502,-24.65859
313,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,14/11/2008,52.0,20.7,210.0,4800.0,MALE,9.43146,-24.6844
314,Chinstrap penguin (Pygoscelis antarctica),Dream,No,24/11/2008,46.9,16.6,192.0,2700.0,FEMALE,9.80589,-24.73735
315,Chinstrap penguin (Pygoscelis antarctica),Dream,No,24/11/2008,53.5,19.9,205.0,4500.0,MALE,10.02544,-24.90816
316,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,24/11/2008,49.0,19.5,210.0,3950.0,MALE,9.53262,-24.66867
317,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,24/11/2008,46.2,17.5,187.0,3650.0,FEMALE,9.61734,-24.66188
318,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,14/11/2008,50.9,19.1,196.0,3550.0,MALE,10.02372,-24.86594
319,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,14/11/2008,45.5,17.0,196.0,3500.0,FEMALE,9.36493,-24.66259
320,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,17/11/2009,50.9,17.9,196.0,3675.0,FEMALE,9.43684,-24.16566
321,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,17/11/2009,50.8,18.5,201.0,4450.0,MALE,9.45827,-24.35575
322,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,27/11/2009,50.1,17.9,190.0,3400.0,FEMALE,9.46819,-24.45721
323,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,27/11/2009,49.0,19.6,212.0,4300.0,MALE,9.34089,-24.45189
324,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,23/11/2009,51.5,18.7,187.0,3250.0,MALE,9.6895,-24.43062
325,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,23/11/2009,49.8,17.3,198.0,3675.0,FEMALE,9.32169,-24.41562
326,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,21/11/2009,48.1,16.4,199.0,3325.0,FEMALE,9.46929,-24.48403
327,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,21/11/2009,51.4,19.0,201.0,3950.0,MALE,9.43782,-24.36202
328,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,23/11/2009,45.7,17.3,193.0,3600.0,FEMALE,9.415,-24.805
329,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,23/11/2009,50.7,19.7,203.0,4050.0,MALE,9.93727,-24.59066
330,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,27/11/2009,42.5,17.3,187.0,3350.0,FEMALE,9.56534,-24.60882
331,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,27/11/2009,52.2,18.8,197.0,3450.0,MALE,9.77528,-24.56481
332,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,21/11/2009,45.2,16.6,191.0,3250.0,FEMALE,9.62357,-24.78984
333,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,21/11/2009,49.3,19.9,203.0,4050.0,MALE,9.88809,-24.59513
334,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,21/11/2009,50.2,18.8,202.0,3800.0,MALE,9.74492,-24.404
335,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,21/11/2009,45.6,19.4,194.0,3525.0,FEMALE,9.46985,-24.65786
336,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,27/11/2009,51.9,19.5,206.0,3950.0,MALE,,-23.78767
337,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,27/11/2009,46.8,16.5,189.0,3650.0,FEMALE,9.65061,-24.48153
338,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,19/11/2009,45.7,17.0,195.0,3650.0,FEMALE,9.26715,-24.31912
339,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,19/11/2009,55.8,19.8,207.0,4000.0,MALE,9.70465,-24.53494
340,Chinstrap penguin (Pygoscelis antarctica),Dream,No,21/11/2009,43.5,18.1,202.0,3400.0,FEMALE,9.37608,-24.40753
341,Chinstrap penguin (Pygoscelis antarctica),Dream,No,21/11/2009,49.6,18.2,193.0,3775.0,MALE,9.4618,-24.70615
342,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,21/11/2009,50.8,19.0,210.0,4100.0,MALE,9.98044,-24.68741
343,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,21/11/2009,50.2,18.7,198.0,3775.0,FEMALE,9.39305,-24.25255
